363,Jenniffer Gonzalez-Colon,rep,PR,Republican,repjenniffer
364,David Kustoff,rep,TN,Republican,repdavidkustoff
365,Vicente Gonzalez,rep,TX,Democrat,RepGonzalez
366,Jodey C. Arrington,rep,TX,Republican,RepArrington
367,A. Donald McEachin,rep,VA,Democrat,RepMcEachin
368,Pramila Jayapal,rep,WA,Democrat,RepJayapal
369,Mike Gallagher,rep,WI,Republican,RepGallagher
370,Liz Cheney,rep,WY,Republican,RepLizCheney
371,Ron Estes,rep,KS,Republican,RepRonEstes
372,Ralph Norman,rep,SC,Republican,RepRalphNorman
373,Jimmy Gomez,rep,CA,Democrat,RepJimmyGomez
374,John R. Curtis,rep,UT,Republican,RepJohnCurtis
375,Tina Smith,sen,MN,Democrat,SenTinaSmith
376,Cindy Hyde-Smith,sen,MS,Republican,SenHydeSmith
377,Conor Lamb,rep,PA,Democrat,RepConorLamb
378,Debbie Lesko,rep,AZ,Republican,RepDLesko
379,Michael Cloud,rep,TX,Republican,RepCloudTX
380,Troy Balderson,rep,OH,Republican,RepBalderson
381,Kevin Hern,rep,OK,Republican,repkevinhern
382,Joseph D. Morelle,rep,NY,Democrat,RepJoeMorelle
383,Mary Gay Scanlon,rep,PA,Democrat,RepMGS
384,Susan Wild,rep,PA,Democrat,RepSusanWild
385,Ed Case,rep,HI,Democrat,RepEdCase
386,Steven Horsford,rep,NV,Democrat,RepHorsford
387,Ann Kirkpatrick,rep,AZ,Democrat,RepKirkpatrick
388,Greg Stanton,rep,AZ,Democrat,RepGregStanton
389,Josh Harder,rep,CA,Democrat,RepJoshHarder
390,Katie Porter,rep,CA,Democrat,RepKatiePorter
391,Mike Levin,rep,CA,Democrat,RepMikeLevin
392,Joe Neguse,rep,CO,Democrat,RepJoeNeguse
393,Jason Crow,rep,CO,Democrat,RepJasonCrow
394,Jahana Hayes,rep,CT,Democrat,RepJahanaHayes
395,Michael Waltz,rep,FL,Republican,RepMichaelWaltz
396,W. Gregory Steube,rep,FL,Republican,RepGregSteube
